idade,renda_mensal,score_credito,dividas,tempo_emprego,tipo_residencia,historico_pagamento,idade_conta_bancaria,numero_cartoes_ativos,limite_cartao_anterior,regiao_residencia,possui_carro,possui_imovel,numero_dependentes,historico_criminal,ocupacao,educacao,gastos_mensais,tempo_residencia_atual,decisao*
62,6707,655,44928.94572001277,34,com_parente,ruim,5,3,42211.18920809748,rural,não,não,5,limpo,empresario,fundamental,1508.415628979933,24,não
39,3844,774,96697.39701748572,19,própria,regular,0,1,24890.685766980077,urbana,sim,sim,1,antecedentes,desempregado,medio,7041.687235146371,29,sim
18,11723,656,80771.07951331117,28,alugada,bom,25,1,9204.767477192174,rural,não,não,3,antecedentes,empresario,fundamental,2367.5049225272314,5,não
26,3418,404,66331.66361734248,38,própria,ruim,16,3,32024.25377195759,urbana,não,não,1,antecedentes,desempregado,pos_graduacao,2402.1338656856497,18,sim
36,18004,790,41699.60525525853,29,alugada,regular,17,4,49684.95197180902,rural,não,sim,0,antecedentes,desempregado,fundamental,4682.002336946638,39,não
24,17292,427,27055.349697186215,39,com_parente,regular,17,4,16818.347445493404,rural,sim,sim,1,antecedentes,empresario,fundamental,5466.476873762131,8,sim
29,17319,629,3094.502844115454,33,alugada,bom,5,1,31028.91367807731,rural,sim,sim,3,antecedentes,autonomo,medio,5812.700603827921,18,sim
23,4817,478,46244.45220908623,27,própria,regular,13,4,31421.64644301639,urbana,sim,não,4,antecedentes,desempregado,fundamental,1390.469102813204,21,sim
52,10936,719,24982.332318810506,5,própria,ruim,9,2,14018.142061851717,urbana,não,não,1,limpo,empregado,superior,1223.8181214736032,40,sim
68,14639,662,37393.252019542444,34,com_parente,bom,3,2,19458.032718439674,urbana,sim,não,1,antecedentes,empresario,pos_graduacao,2437.4415274451985,14,não
19,15519,409,2247.1842486344594,3,com_parente,ruim,25,3,48419.607519918114,urbana,não,não,0,limpo,autonomo,superior,9571.957536219978,32,não
60,4079,332,24729.37069647091,24,própria,regular,27,0,26885.48528497791,rural,não,não,3,antecedentes,empresario,fundamental,3114.88980533423,16,sim
22,12490,729,25188.76654459824,13,alugada,regular,21,4,31761.645883012163,rural,sim,sim,3,antecedentes,desempregado,fundamental,8395.10669205514,29,não
48,3095,301,79584.83842998084,38,própria,regular,21,1,16682.264066365235,rural,sim,não,4,antecedentes,autonomo,medio,2132.1452742370475,1,não
44,2805,778,98042.88415207906,20,alugada,regular,15,1,37519.32440510579,urbana,não,não,5,limpo,empresario,fundamental,6477.294632270666,0,não
35,5175,522,95545.75145617305,9,alugada,bom,13,3,45058.14630840554,rural,não,não,0,limpo,desempregado,pos_graduacao,4409.168130126014,30,sim
64,17653,329,78154.47160021926,13,alugada,ruim,3,2,21768.409911560506,urbana,sim,não,4,limpo,autonomo,pos_graduacao,2989.612852900605,19,não
46,15093,783,96358.20247347916,16,própria,ruim,26,1,33037.40886368137,rural,sim,não,0,antecedentes,autonomo,pos_graduacao,6630.680335471581,7,sim
61,13611,345,45163.95776990655,22,alugada,bom,13,5,19858.156301109142,urbana,sim,não,4,antecedentes,desempregado,medio,6915.665449189813,6,sim
70,3766,704,8770.114571890132,33,com_parente,ruim,12,0,24622.657987840303,rural,sim,não,5,antecedentes,autonomo,medio,993.6822761377648,8,não
